datumId,datum,dag,dagVanWeek,dagNaam,week,maand,maandNaam,kwartaal,jaar
89,1980-03-30,30,6,zondag,13,3,maart,1,1980
90,1980-03-31,31,0,maandag,14,3,maart,1,1980
91,1980-04-01,1,1,dinsdag,14,4,april,2,1980
92,1980-04-02,2,2,woensdag,14,4,april,2,1980
93,1980-04-03,3,3,donderdag,14,4,april,2,1980
94,1980-04-04,4,4,vrijdag,14,4,april,2,1980
95,1980-04-05,5,5,zaterdag,14,4,april,2,1980
96,1980-04-06,6,6,zondag,14,4,april,2,1980
97,1980-04-07,7,0,maandag,15,4,april,2,1980
98,1980-04-08,8,1,dinsdag,15,4,april,2,1980
99,1980-04-09,9,2,woensdag,15,4,april,2,1980
100,1980-04-10,10,3,donderdag,15,4,april,2,1980
101,1980-04-11,11,4,vrijdag,15,4,april,2,1980
102,1980-04-12,12,5,zaterdag,15,4,april,2,1980
103,1980-04-13,13,6,zondag,15,4,april,2,1980
104,1980-04-14,14,0,maandag,16,4,april,2,1980
105,1980-04-15,15,1,dinsdag,16,4,april,2,1980
106,1980-04-16,16,2,woensdag,16,4,april,2,1980
107,1980-04-17,17,3,donderdag,16,4,april,2,1980
108,1980-04-18,18,4,vrijdag,16,4,april,2,1980
109,1980-04-19,19,5,zaterdag,16,4,april,2,1980
110,1980-04-20,20,6,zondag,16,4,april,2,1980
111,1980-04-21,21,0,maandag,17,4,april,2,1980
112,1980-04-22,22,1,dinsdag,17,4,april,2,1980
113,1980-04-23,23,2,woensdag,17,4,april,2,1980
114,1980-04-24,24,3,donderdag,17,4,april,2,1980
115,1980-04-25,25,4,vrijdag,17,4,april,2,1980
116,1980-04-26,26,5,zaterdag,17,4,april,2,1980
117,1980-04-27,27,6,zondag,17,4,april,2,1980
118,1980-04-28,28,0,maandag,18,4,april,2,1980
119,1980-04-29,29,1,dinsdag,18,4,april,2,1980
120,1980-04-30,30,2,woensdag,18,4,april,2,1980
121,1980-05-01,1,3,donderdag,18,5,mei,2,1980
122,1980-05-02,2,4,vrijdag,18,5,mei,2,1980
123,1980-05-03,3,5,zaterdag,18,5,mei,2,1980
124,1980-05-04,4,6,zondag,18,5,mei,2,1980
125,1980-05-05,5,0,maandag,19,5,mei,2,1980
126,1980-05-06,6,1,dinsdag,19,5,mei,2,1980
127,1980-05-07,7,2,woensdag,19,5,mei,2,1980
128,1980-05-08,8,3,donderdag,19,5,mei,2,1980
129,1980-05-09,9,4,vrijdag,19,5,mei,2,1980
130,1980-05-10,10,5,zaterdag,19,5,mei,2,1980
131,1980-05-11,11,6,zondag,19,5,mei,2,1980
132,1980-05-12,12,0,maandag,20,5,mei,2,1980
133,1980-05-13,13,1,dinsdag,20,5,mei,2,1980
134,1980-05-14,14,2,woensdag,20,5,mei,2,1980
135,1980-05-15,15,3,donderdag,20,5,mei,2,1980
136,1980-05-16,16,4,vrijdag,20,5,mei,2,1980
137,1980-05-17,17,5,zaterdag,20,5,mei,2,1980
138,1980-05-18,18,6,zondag,20,5,mei,2,1980
139,1980-05-19,19,0,maandag,21,5,mei,2,1980
140,1980-05-20,20,1,dinsdag,21,5,mei,2,1980
141,1980-05-21,21,2,woensdag,21,5,mei,2,1980
142,1980-05-22,22,3,donderdag,21,5,mei,2,1980
143,1980-05-23,23,4,vrijdag,21,5,mei,2,1980
144,1980-05-24,24,5,zaterdag,21,5,mei,2,1980
145,1980-05-25,25,6,zondag,21,5,mei,2,1980
146,1980-05-26,26,0,maandag,22,5,mei,2,1980
147,1980-05-27,27,1,dinsdag,22,5,mei,2,1980
148,1980-05-28,28,2,woensdag,22,5,mei,2,1980
149,1980-05-29,29,3,donderdag,22,5,mei,2,1980
150,1980-05-30,30,4,vrijdag,22,5,mei,2,1980
151,1980-05-31,31,5,zaterdag,22,5,mei,2,1980
152,1980-06-01,1,6,zondag,22,6,juni,2,1980
153,1980-06-02,2,0,maandag,23,6,juni,2,1980
154,1980-06-03,3,1,dinsdag,23,6,juni,2,1980
155,1980-06-04,4,2,woensdag,23,6,juni,2,1980
156,1980-06-05,5,3,donderdag,23,6,juni,2,1980
157,1980-06-06,6,4,vrijdag,23,6,juni,2,1980
158,1980-06-07,7,5,zaterdag,23,6,juni,2,1980
159,1980-06-08,8,6,zondag,23,6,juni,2,1980
160,1980-06-09,9,0,maandag,24,6,juni,2,1980
161,1980-06-10,10,1,dinsdag,24,6,juni,2,1980
162,1980-06-11,11,2,woensdag,24,6,juni,2,1980
163,1980-06-12,12,3,donderdag,24,6,juni,2,1980
164,1980-06-13,13,4,vrijdag,24,6,juni,2,1980
165,1980-06-14,14,5,zaterdag,24,6,juni,2,1980
166,1980-06-15,15,6,zondag,24,6,juni,2,1980
167,1980-06-16,16,0,maandag,25,6,juni,2,1980
168,1980-06-17,17,1,dinsdag,25,6,juni,2,1980
169,1980-06-18,18,2,woensdag,25,6,juni,2,1980
170,1980-06-19,19,3,donderdag,25,6,juni,2,1980
171,1980-06-20,20,4,vrijdag,25,6,juni,2,1980
172,1980-06-21,21,5,zaterdag,25,6,juni,2,1980
173,1980-06-22,22,6,zondag,25,6,juni,2,1980
174,1980-06-23,23,0,maandag,26,6,juni,2,1980
175,1980-06-24,24,1,dinsdag,26,6,juni,2,1980
176,1980-06-25,25,2,woensdag,26,6,juni,2,1980
177,1980-06-26,26,3,donderdag,26,6,juni,2,1980
178,1980-06-27,27,4,vrijdag,26,6,juni,2,1980
179,1980-06-28,28,5,zaterdag,26,6,juni,2,1980
180,1980-06-29,29,6,zondag,26,6,juni,2,1980
181,1980-06-30,30,0,maandag,27,6,juni,2,1980
182,1980-07-01,1,1,dinsdag,27,7,juli,3,1980
183,1980-07-02,2,2,woensdag,27,7,juli,3,1980
184,1980-07-03,3,3,donderdag,27,7,juli,3,1980
185,1980-07-04,4,4,vrijdag,27,7,juli,3,1980
186,1980-07-05,5,5,zaterdag,27,7,juli,3,1980
187,1980-07-06,6,6,zondag,27,7,juli,3,1980
188,1980-07-07,7,0,maandag,28,7,juli,3,1980
189,1980-07-08,8,1,dinsdag,28,7,juli,3,1980
190,1980-07-09,9,2,woensdag,28,7,juli,3,1980
191,1980-07-10,10,3,donderdag,28,7,juli,3,1980
192,1980-07-11,11,4,vrijdag,28,7,juli,3,1980
193,1980-07-12,12,5,zaterdag,28,7,juli,3,1980
194,1980-07-13,13,6,zondag,28,7,juli,3,1980
195,1980-07-14,14,0,maandag,29,7,juli,3,1980
196,1980-07-15,15,1,dinsdag,29,7,juli,3,1980
197,1980-07-16,16,2,woensdag,29,7,juli,3,1980
198,1980-07-17,17,3,donderdag,29,7,juli,3,1980
199,1980-07-18,18,4,vrijdag,29,7,juli,3,1980
200,1980-07-19,19,5,zaterdag,29,7,juli,3,1980
201,1980-07-20,20,6,zondag,29,7,juli,3,1980
202,1980-07-21,21,0,maandag,30,7,juli,3,1980
203,1980-07-22,22,1,dinsdag,30,7,juli,3,1980
204,1980-07-23,23,2,woensdag,30,7,juli,3,1980
205,1980-07-24,24,3,donderdag,30,7,juli,3,1980
206,1980-07-25,25,4,vrijdag,30,7,juli,3,1980
207,1980-07-26,26,5,zaterdag,30,7,juli,3,1980
208,1980-07-27,27,6,zondag,30,7,juli,3,1980
209,1980-07-28,28,0,maandag,31,7,juli,3,1980
210,1980-07-29,29,1,dinsdag,31,7,juli,3,1980
211,1980-07-30,30,2,woensdag,31,7,juli,3,1980
212,1980-07-31,31,3,donderdag,31,7,juli,3,1980
213,1980-08-01,1,4,vrijdag,31,8,augustus,3,1980
214,1980-08-02,2,5,zaterdag,31,8,augustus,3,1980
215,1980-08-03,3,6,zondag,31,8,augustus,3,1980
216,1980-08-04,4,0,maandag,32,8,augustus,3,1980
217,1980-08-05,5,1,dinsdag,32,8,augustus,3,1980
218,1980-08-06,6,2,woensdag,32,8,augustus,3,1980
219,1980-08-07,7,3,donderdag,32,8,augustus,3,1980
220,1980-08-08,8,4,vrijdag,32,8,augustus,3,1980
221,1980-08-09,9,5,zaterdag,32,8,augustus,3,1980
222,1980-08-10,10,6,zondag,32,8,augustus,3,1980
223,1980-08-11,11,0,maandag,33,8,augustus,3,1980
224,1980-08-12,12,1,dinsdag,33,8,augustus,3,1980
225,1980-08-13,13,2,woensdag,33,8,augustus,3,1980
226,1980-08-14,14,3,donderdag,33,8,augustus,3,1980
227,1980-08-15,15,4,vrijdag,33,8,augustus,3,1980
228,1980-08-16,16,5,zaterdag,33,8,augustus,3,1980
229,1980-08-17,17,6,zondag,33,8,augustus,3,1980
230,1980-08-18,18,0,maandag,34,8,augustus,3,1980
231,1980-08-19,19,1,dinsdag,34,8,augustus,3,1980
232,1980-08-20,20,2,woensdag,34,8,augustus,3,1980
233,1980-08-21,21,3,donderdag,34,8,augustus,3,1980
234,1980-08-22,22,4,vrijdag,34,8,augustus,3,1980
235,1980-08-23,23,5,zaterdag,34,8,augustus,3,1980
236,1980-08-24,24,6,zondag,34,8,augustus,3,1980
237,1980-08-25,25,0,maandag,35,8,augustus,3,1980
238,1980-08-26,26,1,dinsdag,35,8,augustus,3,1980
239,1980-08-27,27,2,woensdag,35,8,augustus,3,1980
240,1980-08-28,28,3,donderdag,35,8,augustus,3,1980
241,1980-08-29,29,4,vrijdag,35,8,augustus,3,1980
242,1980-08-30,30,5,zaterdag,35,8,augustus,3,1980
243,1980-08-31,31,6,zondag,35,8,augustus,3,1980
244,1980-09-01,1,0,maandag,36,9,september,3,1980
245,1980-09-02,2,1,dinsdag,36,9,september,3,1980
246,1980-09-03,3,2,woensdag,36,9,september,3,1980
247,1980-09-04,4,3,donderdag,36,9,september,3,1980
248,1980-09-05,5,4,vrijdag,36,9,september,3,1980
249,1980-09-06,6,5,zaterdag,36,9,september,3,1980
250,1980-09-07,7,6,zondag,36,9,september,3,1980
251,1980-09-08,8,0,maandag,37,9,september,3,1980
252,1980-09-09,9,1,dinsdag,37,9,september,3,1980
253,1980-09-10,10,2,woensdag,37,9,september,3,1980
254,1980-09-11,11,3,donderdag,37,9,september,3,1980
255,1980-09-12,12,4,vrijdag,37,9,september,3,1980
256,1980-09-13,13,5,zaterdag,37,9,september,3,1980
257,1980-09-14,14,6,zondag,37,9,september,3,1980
258,1980-09-15,15,0,maandag,38,9,september,3,1980
259,1980-09-16,16,1,dinsdag,38,9,september,3,1980
260,1980-09-17,17,2,woensdag,38,9,september,3,1980
261,1980-09-18,18,3,donderdag,38,9,september,3,1980
262,1980-09-19,19,4,vrijdag,38,9,september,3,1980
263,1980-09-20,20,5,zaterdag,38,9,september,3,1980
264,1980-09-21,21,6,zondag,38,9,september,3,1980
265,1980-09-22,22,0,maandag,39,9,september,3,1980
266,1980-09-23,23,1,dinsdag,39,9,september,3,1980
267,1980-09-24,24,2,woensdag,39,9,september,3,1980
268,1980-09-25,25,3,donderdag,39,9,september,3,1980
269,1980-09-26,26,4,vrijdag,39,9,september,3,1980
270,1980-09-27,27,5,zaterdag,39,9,september,3,1980
271,1980-09-28,28,6,zondag,39,9,september,3,1980
272,1980-09-29,29,0,maandag,40,9,september,3,1980
273,1980-09-30,30,1,dinsdag,40,9,september,3,1980
274,1980-10-01,1,2,woensdag,40,10,oktober,4,1980
275,1980-10-02,2,3,donderdag,40,10,oktober,4,1980
276,1980-10-03,3,4,vrijdag,40,10,oktober,4,1980
277,1980-10-04,4,5,zaterdag,40,10,oktober,4,1980
278,1980-10-05,5,6,zondag,40,10,oktober,4,1980
279,1980-10-06,6,0,maandag,41,10,oktober,4,1980
280,1980-10-07,7,1,dinsdag,41,10,oktober,4,1980
281,1980-10-08,8,2,woensdag,41,10,oktober,4,1980
282,1980-10-09,9,3,donderdag,41,10,oktober,4,1980
283,1980-10-10,10,4,vrijdag,41,10,oktober,4,1980
284,1980-10-11,11,5,zaterdag,41,10,oktober,4,1980
285,1980-10-12,12,6,zondag,41,10,oktober,4,1980
286,1980-10-13,13,0,maandag,42,10,oktober,4,1980
287,1980-10-14,14,1,dinsdag,42,10,oktober,4,1980
288,1980-10-15,15,2,woensdag,42,10,oktober,4,1980
289,1980-10-16,16,3,donderdag,42,10,oktober,4,1980
290,1980-10-17,17,4,vrijdag,42,10,oktober,4,1980
291,1980-10-18,18,5,zaterdag,42,10,oktober,4,1980
292,1980-10-19,19,6,zondag,42,10,oktober,4,1980
293,1980-10-20,20,0,maandag,43,10,oktober,4,1980
294,1980-10-21,21,1,dinsdag,43,10,oktober,4,1980
295,1980-10-22,22,2,woensdag,43,10,oktober,4,1980
296,1980-10-23,23,3,donderdag,43,10,oktober,4,1980
297,1980-10-24,24,4,vrijdag,43,10,oktober,4,1980
298,1980-10-25,25,5,zaterdag,43,10,oktober,4,1980
299,1980-10-26,26,6,zondag,43,10,oktober,4,1980
300,1980-10-27,27,0,maandag,44,10,oktober,4,1980
301,1980-10-28,28,1,dinsdag,44,10,oktober,4,1980
302,1980-10-29,29,2,woensdag,44,10,oktober,4,1980
303,1980-10-30,30,3,donderdag,44,10,oktober,4,1980
304,1980-10-31,31,4,vrijdag,44,10,oktober,4,1980
305,1980-11-01,1,5,zaterdag,44,11,november,4,1980
306,1980-11-02,2,6,zondag,44,11,november,4,1980
307,1980-11-03,3,0,maandag,45,11,november,4,1980
308,1980-11-04,4,1,dinsdag,45,11,november,4,1980
309,1980-11-05,5,2,woensdag,45,11,november,4,1980
310,1980-11-06,6,3,donderdag,45,11,november,4,1980
311,1980-11-07,7,4,vrijdag,45,11,november,4,1980
312,1980-11-08,8,5,zaterdag,45,11,november,4,1980
313,1980-11-09,9,6,zondag,45,11,november,4,1980
314,1980-11-10,10,0,maandag,46,11,november,4,1980
315,1980-11-11,11,1,dinsdag,46,11,november,4,1980
316,1980-11-12,12,2,woensdag,46,11,november,4,1980
317,1980-11-13,13,3,donderdag,46,11,november,4,1980
318,1980-11-14,14,4,vrijdag,46,11,november,4,1980
319,1980-11-15,15,5,zaterdag,46,11,november,4,1980
320,1980-11-16,16,6,zondag,46,11,november,4,1980
321,1980-11-17,17,0,maandag,47,11,november,4,1980
322,1980-11-18,18,1,dinsdag,47,11,november,4,1980
323,1980-11-19,19,2,woensdag,47,11,november,4,1980
324,1980-11-20,20,3,donderdag,47,11,november,4,1980
325,1980-11-21,21,4,vrijdag,47,11,november,4,1980
326,1980-11-22,22,5,zaterdag,47,11,november,4,1980
327,1980-11-23,23,6,zondag,47,11,november,4,1980
328,1980-11-24,24,0,maandag,48,11,november,4,1980
329,1980-11-25,25,1,dinsdag,48,11,november,4,1980
330,1980-11-26,26,2,woensdag,48,11,november,4,1980
331,1980-11-27,27,3,donderdag,48,11,november,4,1980
332,1980-11-28,28,4,vrijdag,48,11,november,4,1980
333,1980-11-29,29,5,zaterdag,48,11,november,4,1980
334,1980-11-30,30,6,zondag,48,11,november,4,1980
335,1980-12-01,1,0,maandag,49,12,december,4,1980
336,1980-12-02,2,1,dinsdag,49,12,december,4,1980
337,1980-12-03,3,2,woensdag,49,12,december,4,1980
338,1980-12-04,4,3,donderdag,49,12,december,4,1980
339,1980-12-05,5,4,vrijdag,49,12,december,4,1980
340,1980-12-06,6,5,zaterdag,49,12,december,4,1980
341,1980-12-07,7,6,zondag,49,12,december,4,1980
342,1980-12-08,8,0,maandag,50,12,december,4,1980
343,1980-12-09,9,1,dinsdag,50,12,december,4,1980
344,1980-12-10,10,2,woensdag,50,12,december,4,1980
345,1980-12-11,11,3,donderdag,50,12,december,4,1980
346,1980-12-12,12,4,vrijdag,50,12,december,4,1980
347,1980-12-13,13,5,zaterdag,50,12,december,4,1980
348,1980-12-14,14,6,zondag,50,12,december,4,1980
349,1980-12-15,15,0,maandag,51,12,december,4,1980
350,1980-12-16,16,1,dinsdag,51,12,december,4,1980
351,1980-12-17,17,2,woensdag,51,12,december,4,1980
352,1980-12-18,18,3,donderdag,51,12,december,4,1980
353,1980-12-19,19,4,vrijdag,51,12,december,4,1980
354,1980-12-20,20,5,zaterdag,51,12,december,4,1980
355,1980-12-21,21,6,zondag,51,12,december,4,1980
356,1980-12-22,22,0,maandag,52,12,december,4,1980
357,1980-12-23,23,1,dinsdag,52,12,december,4,1980
358,1980-12-24,24,2,woensdag,52,12,december,4,1980
359,1980-12-25,25,3,donderdag,52,12,december,4,1980
360,1980-12-26,26,4,vrijdag,52,12,december,4,1980
361,1980-12-27,27,5,zaterdag,52,12,december,4,1980
362,1980-12-28,28,6,zondag,52,12,december,4,1980
363,1980-12-29,29,0,maandag,1,12,december,4,1980
364,1980-12-30,30,1,dinsdag,1,12,december,4,1980
365,1980-12-31,31,2,woensdag,1,12,december,4,1980
366,1981-01-01,1,3,donderdag,1,1,januari,1,1981
367,1981-01-02,2,4,vrijdag,1,1,januari,1,1981
368,1981-01-03,3,5,zaterdag,1,1,januari,1,1981
369,1981-01-04,4,6,zondag,1,1,januari,1,1981
370,1981-01-05,5,0,maandag,2,1,januari,1,1981
371,1981-01-06,6,1,dinsdag,2,1,januari,1,1981
372,1981-01-07,7,2,woensdag,2,1,januari,1,1981
373,1981-01-08,8,3,donderdag,2,1,januari,1,1981
374,1981-01-09,9,4,vrijdag,2,1,januari,1,1981
375,1981-01-10,10,5,zaterdag,2,1,januari,1,1981
376,1981-01-11,11,6,zondag,2,1,januari,1,1981
377,1981-01-12,12,0,maandag,3,1,januari,1,1981
378,1981-01-13,13,1,dinsdag,3,1,januari,1,1981
379,1981-01-14,14,2,woensdag,3,1,januari,1,1981
380,1981-01-15,15,3,donderdag,3,1,januari,1,1981
381,1981-01-16,16,4,vrijdag,3,1,januari,1,1981
382,1981-01-17,17,5,zaterdag,3,1,januari,1,1981
383,1981-01-18,18,6,zondag,3,1,januari,1,1981
384,1981-01-19,19,0,maandag,4,1,januari,1,1981
385,1981-01-20,20,1,dinsdag,4,1,januari,1,1981
386,1981-01-21,21,2,woensdag,4,1,januari,1,1981
387,1981-01-22,22,3,donderdag,4,1,januari,1,1981
388,1981-01-23,23,4,vrijdag,4,1,januari,1,1981
389,1981-01-24,24,5,zaterdag,4,1,januari,1,1981
390,1981-01-25,25,6,zondag,4,1,januari,1,1981
391,1981-01-26,26,0,maandag,5,1,januari,1,1981
392,1981-01-27,27,1,dinsdag,5,1,januari,1,1981
393,1981-01-28,28,2,woensdag,5,1,januari,1,1981
394,1981-01-29,29,3,donderdag,5,1,januari,1,1981
395,1981-01-30,30,4,vrijdag,5,1,januari,1,1981
396,1981-01-31,31,5,zaterdag,5,1,januari,1,1981
397,1981-02-01,1,6,zondag,5,2,februari,1,1981
398,1981-02-02,2,0,maandag,6,2,februari,1,1981
399,1981-02-03,3,1,dinsdag,6,2,februari,1,1981
400,1981-02-04,4,2,woensdag,6,2,februari,1,1981
401,1981-02-05,5,3,donderdag,6,2,februari,1,1981
402,1981-02-06,6,4,vrijdag,6,2,februari,1,1981
403,1981-02-07,7,5,zaterdag,6,2,februari,1,1981
404,1981-02-08,8,6,zondag,6,2,februari,1,1981
405,1981-02-09,9,0,maandag,7,2,februari,1,1981
406,1981-02-10,10,1,dinsdag,7,2,februari,1,1981
407,1981-02-11,11,2,woensdag,7,2,februari,1,1981
408,1981-02-12,12,3,donderdag,7,2,februari,1,1981
409,1981-02-13,13,4,vrijdag,7,2,februari,1,1981
410,1981-02-14,14,5,zaterdag,7,2,februari,1,1981
411,1981-02-15,15,6,zondag,7,2,februari,1,1981
412,1981-02-16,16,0,maandag,8,2,februari,1,1981
413,1981-02-17,17,1,dinsdag,8,2,februari,1,1981
414,1981-02-18,18,2,woensdag,8,2,februari,1,1981
415,1981-02-19,19,3,donderdag,8,2,februari,1,1981
416,1981-02-20,20,4,vrijdag,8,2,februari,1,1981
417,1981-02-21,21,5,zaterdag,8,2,februari,1,1981
418,1981-02-22,22,6,zondag,8,2,februari,1,1981
419,1981-02-23,23,0,maandag,9,2,februari,1,1981
420,1981-02-24,24,1,dinsdag,9,2,februari,1,1981
421,1981-02-25,25,2,woensdag,9,2,februari,1,1981
422,1981-02-26,26,3,donderdag,9,2,februari,1,1981
423,1981-02-27,27,4,vrijdag,9,2,februari,1,1981
424,1981-02-28,28,5,zaterdag,9,2,februari,1,1981
425,1981-03-01,1,6,zondag,9,3,maart,1,1981
426,1981-03-02,2,0,maandag,10,3,maart,1,1981
427,1981-03-03,3,1,dinsdag,10,3,maart,1,1981
428,1981-03-04,4,2,woensdag,10,3,maart,1,1981
429,1981-03-05,5,3,donderdag,10,3,maart,1,1981
430,1981-03-06,6,4,vrijdag,10,3,maart,1,1981
431,1981-03-07,7,5,zaterdag,10,3,maart,1,1981
432,1981-03-08,8,6,zondag,10,3,maart,1,1981
433,1981-03-09,9,0,maandag,11,3,maart,1,1981
434,1981-03-10,10,1,dinsdag,11,3,maart,1,1981
435,1981-03-11,11,2,woensdag,11,3,maart,1,1981
436,1981-03-12,12,3,donderdag,11,3,maart,1,1981
437,1981-03-13,13,4,vrijdag,11,3,maart,1,1981
438,1981-03-14,14,5,zaterdag,11,3,maart,1,1981
439,1981-03-15,15,6,zondag,11,3,maart,1,1981
440,1981-03-16,16,0,maandag,12,3,maart,1,1981
441,1981-03-17,17,1,dinsdag,12,3,maart,1,1981
442,1981-03-18,18,2,woensdag,12,3,maart,1,1981
443,1981-03-19,19,3,donderdag,12,3,maart,1,1981
444,1981-03-20,20,4,vrijdag,12,3,maart,1,1981
445,1981-03-21,21,5,zaterdag,12,3,maart,1,1981
446,1981-03-22,22,6,zondag,12,3,maart,1,1981
447,1981-03-23,23,0,maandag,13,3,maart,1,1981
448,1981-03-24,24,1,dinsdag,13,3,maart,1,1981
449,1981-03-25,25,2,woensdag,13,3,maart,1,1981
450,1981-03-26,26,3,donderdag,13,3,maart,1,1981
451,1981-03-27,27,4,vrijdag,13,3,maart,1,1981
452,1981-03-28,28,5,zaterdag,13,3,maart,1,1981
453,1981-03-29,29,6,zondag,13,3,maart,1,1981
454,1981-03-30,30,0,maandag,14,3,maart,1,1981
455,1981-03-31,31,1,dinsdag,14,3,maart,1,1981
456,1981-04-01,1,2,woensdag,14,4,april,2,1981
457,1981-04-02,2,3,donderdag,14,4,april,2,1981
458,1981-04-03,3,4,vrijdag,14,4,april,2,1981
459,1981-04-04,4,5,zaterdag,14,4,april,2,1981
460,1981-04-05,5,6,zondag,14,4,april,2,1981
461,1981-04-06,6,0,maandag,15,4,april,2,1981
462,1981-04-07,7,1,dinsdag,15,4,april,2,1981
